geneID	MH	US	GH	AN
GRMZM2G373828	1	0	1	1
GRMZM2G059358	0	0	0	0
GRMZM2G019993	0	0	0	0
GRMZM2G450273	0	0	0	0
GRMZM2G438260	0	0	0	1
GRMZM2G060444	0	1	0	0
GRMZM2G075215	0	1	1	1
GRMZM2G473891	1	1	1	0
GRMZM2G416524	0	0	1	0
GRMZM2G006765	0	0	0	0
GRMZM2G135446	1	1	1	0
GRMZM2G162737	1	1	0	1
GRMZM2G076415	0	0	1	1
GRMZM2G074351	1	0	0	0
GRMZM2G115628	0	1	0	1
GRMZM2G124524	0	1	1	0
GRMZM2G015080	0	0	0	0
GRMZM2G313944	0	0	0	0
GRMZM2G013936	0	0	0	0
GRMZM2G102829	0	0	0	0
GRMZM2G065276	0	0	0	1
GRMZM2G462690	0	1	0	0
GRMZM2G066638	0	0	0	0
GRMZM2G025924	0	1	0	0
GRMZM2G000601	0	0	1	1
GRMZM2G033694	0	0	1	1
GRMZM2G138178	0	0	0	1
GRMZM2G300955	0	0	0	0
GRMZM2G117412	0	0	0	0
GRMZM2G002075	0	1	0	0
GRMZM2G137541	1	1	0	0
GRMZM2G009406	0	0	0	0
GRMZM2G022162	0	0	0	0
GRMZM2G126018	1	0	0	0
GRMZM2G158884	0	0	0	1
GRMZM2G083504	0	0	0	0
GRMZM2G061734	0	0	0	0
GRMZM2G129034	0	0	0	0
GRMZM2G178182	0	0	0	1
GRMZM2G158809	0	0	0	0
AC199782.5_FG003	0	0	0	1
GRMZM2G124037	0	0	0	0
GRMZM2G124011	0	1	0	1
GRMZM2G081812	0	1	1	0
GRMZM2G105869	0	0	0	1
GRMZM2G179452	0	0	0	0
GRMZM2G360517	0	0	0	0
GRMZM2G089159	0	0	0	0
GRMZM2G113396	0	0	1	0
GRMZM2G038519	0	0	1	0
GRMZM2G175718	0	0	0	1
GRMZM2G180947	0	1	1	0
GRMZM2G040349	0	1	0	1
GRMZM2G474468	0	0	0	0
GRMZM2G010505	0	0	0	0
GRMZM2G395244	0	0	0	0
GRMZM2G033962	1	0	1	0
GRMZM2G062019	0	0	0	0
GRMZM2G067915	0	0	0	0
GRMZM2G149428	0	0	0	1
GRMZM2G171818	0	0	1	1
GRMZM2G105317	1	0	0	1
GRMZM2G408768	0	0	1	0
GRMZM2G107945	1	1	0	0
GRMZM2G008898	0	0	1	0
GRMZM2G008765	0	0	0	0
GRMZM2G437445	0	0	0	0
GRMZM2G170934	0	1	1	0
GRMZM2G012546	0	0	0	0
GRMZM2G362718	0	1	0	0
GRMZM2G096016	0	0	0	0
GRMZM2G048494	0	0	0	0
GRMZM2G148693	1	1	1	1
GRMZM2G143602	0	0	0	1
GRMZM2G146688	0	1	0	0
GRMZM2G087804	0	0	0	0
GRMZM2G309063	1	0	1	1
GRMZM2G085266	1	1	1	0
GRMZM2G133168	0	0	0	0
GRMZM2G471089	0	0	0	1
GRMZM2G056186	0	0	0	0
GRMZM2G378490	0	0	0	0
GRMZM2G099461	0	0	0	0
GRMZM5G844173	1	1	0	1
GRMZM2G138750	1	1	1	1
GRMZM2G445261	0	0	0	0
GRMZM2G065471	0	0	0	0
GRMZM2G478501	0	0	0	0
GRMZM2G061758	0	0	0	0
GRMZM2G026643	0	0	1	0
GRMZM2G152689	0	0	0	0
GRMZM2G057150	0	0	0	0
GRMZM2G067511	0	0	0	0
GRMZM2G089949	1	0	1	0
GRMZM2G463525	0	1	0	0
GRMZM2G115960	1	1	1	1
GRMZM2G133646	0	0	0	0
GRMZM2G111593	1	1	1	1
GRMZM2G434506	0	0	1	1
GRMZM2G088653	0	1	1	0
GRMZM2G001426	0	0	0	1
GRMZM2G377079	1	1	1	1
GRMZM2G416913	0	1	1	0
GRMZM2G008123	0	0	0	0
GRMZM2G444621	0	0	1	1
GRMZM2G178102	0	1	0	0
GRMZM2G104396	0	0	1	1
GRMZM2G176063	0	1	0	0
GRMZM2G155375	1	0	1	0
GRMZM2G021471	1	1	1	1
GRMZM2G160687	0	1	0	0
GRMZM2G089638	0	1	0	1
GRMZM2G146018	0	0	0	0
GRMZM2G097182	0	0	0	0
GRMZM2G082387	0	0	0	0
GRMZM2G473152	0	0	0	0
GRMZM2G169884	0	1	0	0
GRMZM2G019686	1	1	1	1
GRMZM2G336909	1	0	1	0
GRMZM2G092214	1	1	0	1
GRMZM2G180406	0	0	0	1
GRMZM2G177220	1	0	0	0
GRMZM2G013016	1	0	0	0
GRMZM2G141638	0	1	0	0
GRMZM2G018589	0	0	0	1
GRMZM2G110153	0	0	0	1
GRMZM2G053284	0	0	0	1
GRMZM2G154641	0	0	1	0
GRMZM2G074908	0	1	0	1
GRMZM2G303465	0	0	0	1
GRMZM2G165511	0	0	1	1
GRMZM2G451031	1	0	0	1
GRMZM2G159134	1	0	0	0
GRMZM2G139688	0	0	0	0
GRMZM2G139710	0	0	0	0
GRMZM2G145058	0	0	0	0
GRMZM2G145058	0	0	0	0
GRMZM2G386276	0	1	0	1
GRMZM2G061515	0	0	0	1
GRMZM2G320013	1	1	0	1
GRMZM2G394973	0	0	0	0
